	word1	word2	Sim_Lex_Similarity	Universal_encoder_Similarity
0	short	long	1.23	0.8739318251609802
1	happy	mad	0.95	0.6000900268554688
2	narrow	broad	1.18	0.6496578454971313
3	wonderful	great	8.05	0.8988122940063477
4	unnecessary	necessary	0.63	0.8193821907043457
5	easy	flexible	4.1	0.5201120376586914
6	fragile	frigid	2.38	0.5402717590332031
7	happy	young	2	0.5476217269897461
8	afraid	anxious	5.07	0.7044713497161865
9	elastic	flexible	7.78	0.6354579329490662
10	fresh	wide	0.4	0.45424070954322815
11	uncle	aunt	5.5	0.7888277173042297
12	actress	actor	7.12	0.805557370185852
13	clothes	closet	3.27	0.565697193145752
14	disease	infection	7.15	0.6878616809844971
15	sea	ocean	8.27	0.8332858085632324
16	music	melody	6.98	0.517167329788208
17	hound	fox	2.38	0.5119163990020752
18	telephone	booth	3.63	0.5151470899581909
19	decade	century	3.48	0.7327841520309448
20	arm	muscle	3.72	0.5698015093803406
21	church	choir	2.95	0.6852848529815674
22	army	legion	5.95	0.594833493232727
23	clothes	fabric	5.87	0.6129732131958008
24	god	devil	1.8	0.6394013166427612
25	tin	aluminum	6.42	0.6900151968002319
26	wall	brick	4.68	0.6250548362731934
27	rain	mist	5.97	0.6464492082595825
28	bird	turkey	6.58	0.471178263425827
29	style	fashion	8.5	0.7815234661102295
30	animal	person	3.05	0.6214993000030518
31	orthodontist	dentist	8.27	0.7679280638694763
32	son	father	3.82	0.8241347074508667
33	sheep	cattle	4.77	0.6575198173522949
34	father	daughter	2.62	0.7612709999084473
35	illness	infection	6.9	0.6629489064216614
36	august	month	5.53	0.7247298955917358
37	opinion	choice	5.43	0.5747963190078735
38	hill	cliff	4.28	0.6331658363342285
39	emotion	passion	7.72	0.6926189064979553
40	opinion	idea	5.7	0.4659619629383087
41	science	psychology	4.92	0.510392427444458
42	king	princess	3.27	0.6667143106460571
43	house	carpet	1.38	0.6103804707527161
44	friend	guy	3.88	0.6637333631515503
45	flower	bulb	4.48	0.5080787539482117
46	room	bed	2.35	0.6650116443634033
47	attention	interest	7.22	0.6029124855995178
48	exit	doorway	5.5	0.6144499778747559
49	wagon	carriage	7.7	0.6887979507446289
50	book	topic	2.07	0.5295621156692505
51	polyester	cotton	5.63	0.7357062101364136
52	racket	noise	8.1	0.5627992153167725
53	man	husband	5.32	0.46310365200042725
54	boy	brother	6.67	0.5657728910446167
55	effort	difficulty	4.45	0.48069846630096436
56	door	kitchen	1.67	0.6571735143661499
57	denial	confession	1.03	0.4845620393753052
58	biography	fiction	1.38	0.6474922299385071
59	fever	illness	7.65	0.7402540445327759
60	author	reader	1.6	0.6000113487243652
61	man	warrior	4.72	0.45896443724632263
62	daughter	kid	4.17	0.6850607991218567
63	apple	sauce	1.43	0.14542225003242493
64	cup	cone	3.17	0.6496050357818604
65	word	clue	2.53	0.33856168389320374
66	belly	abdomen	8.13	0.7173365354537964
67	neck	spine	5.32	0.735852062702179
68	arm	neck	1.58	0.6777698993682861
69	nose	mouth	3.73	0.6023613214492798
70	book	theme	2.58	0.502656102180481
71	trick	size	0.48	0.21217305958271027
72	task	woman	0.68	0.49211323261260986
73	pollution	president	0.68	0.31961381435394287
74	hole	wife	0.68	0.42637133598327637
75	liquor	band	0.68	0.4377495050430298
76	princess	island	0.3	0.5222892761230469
77	go	come	2.42	0.7994574904441833
78	kill	destroy	5.9	0.7439653873443604
79	make	construct	8.33	0.5093799829483032
80	greet	meet	6.17	0.5980120897293091
81	accept	believe	6.75	0.6162251234054565
82	forget	ignore	3.07	0.6517729163169861
83	add	divide	2.3	0.4326355457305908
84	ask	pray	3.72	0.4882752001285553
85	take	possess	7.2	0.7182662487030029
86	give	deny	1.43	0.522881269454956
87	overcome	dominate	6.25	0.46518248319625854
88	take	leave	2.47	0.654276967048645
89	assume	predict	4.85	0.3928653299808502
90	keep	protect	5.4	0.585203230381012
91	require	inquire	1.82	0.5987116694450378
92	owe	lend	2.32	0.5682601928710938
93	kill	defend	2.63	0.5735253095626831
94	please	entertain	5	0.4438544511795044
95	leave	wander	3.57	0.5822861194610596
96	collect	save	6.67	0.5487588047981262
97	add	build	4.92	0.3975052833557129
98	investigate	pursue	7.15	0.5323593616485596
99	absorb	withdraw	2.97	0.4751729369163513
